pattern,blur_sigma,noise_std,trial,seed,pipeline,pipeline_description,metric,score,identity_same_input_score,ratio_to_identity_same_input,identity_sharp_anchor,ratio_to_identity_sharp_anchor,calibration_threshold,expected_class,predicted_blurred
checkerboard,0,0,1,20261002,jpeg_q75,JPEG quality 75 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,1,20261002,jpeg_q75,JPEG quality 75 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,1,20261002,jpeg_q50,JPEG quality 50 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,1,20261002,jpeg_q50,JPEG quality 50 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,1,20261002,resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,1,20261002,resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,1,20261002,resize_linear_linear,0.5x INTER_LINEAR down and up,laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,1,20261002,resize_linear_linear,0.5x INTER_LINEAR down and up,tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,1,20261002,gaussian_denoise,Gaussian low-pass sigma 1,laplacian_variance,2045.114502,39124.539185,0.052272,39124.539185,0.052272,19596.280945,sharp,1
checkerboard,0,0,1,20261002,gaussian_denoise,Gaussian low-pass sigma 1,tenengrad_energy,170318.874023,412407.092285,0.412987,412407.092285,0.412987,212771.225098,sharp,1
checkerboard,0,0,1,20261002,unsharp_0_5,"Unsharp amount 0.5, sigma 1",laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,1,20261002,unsharp_0_5,"Unsharp amount 0.5, sigma 1",tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,1,20261002,unsharp_1_0,"Unsharp amount 1.0, sigma 1",laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,1,20261002,unsharp_1_0,"Unsharp amount 1.0, sigma 1",tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,1,20261002,denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,laplacian_variance,4437.624268,39124.539185,0.113423,39124.539185,0.113423,19596.280945,sharp,1
checkerboard,0,0,1,20261002,denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,tenengrad_energy,234188.516113,412407.092285,0.567858,412407.092285,0.567858,212771.225098,sharp,0
checkerboard,0,0,1,20261002,unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,laplacian_variance,2045.114502,39124.539185,0.052272,39124.539185,0.052272,19596.280945,sharp,1
checkerboard,0,0,1,20261002,unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,tenengrad_energy,170318.874023,412407.092285,0.412987,412407.092285,0.412987,212771.225098,sharp,1
checkerboard,0,0,1,20261002,jpeg_then_resize,JPEG quality 75 then area-linear resize,laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,1,20261002,jpeg_then_resize,JPEG quality 75 then area-linear resize,tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,1,20261002,resize_then_jpeg,Area-linear resize then JPEG quality 75,laplacian_variance,4664.557065,39124.539185,0.119223,39124.539185,0.119223,19596.280945,sharp,1
checkerboard,0,0,1,20261002,resize_then_jpeg,Area-linear resize then JPEG quality 75,tenengrad_energy,226532.033081,412407.092285,0.549292,412407.092285,0.549292,212771.225098,sharp,0
checkerboard,0,0,2,20261003,identity,No preprocessing,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,2,20261003,identity,No preprocessing,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,2,20261003,jpeg_q95,JPEG quality 95 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,2,20261003,jpeg_q95,JPEG quality 95 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,2,20261003,jpeg_q75,JPEG quality 75 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,2,20261003,jpeg_q75,JPEG quality 75 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,2,20261003,jpeg_q50,JPEG quality 50 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,2,20261003,jpeg_q50,JPEG quality 50 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,2,20261003,resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,2,20261003,resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,2,20261003,resize_linear_linear,0.5x INTER_LINEAR down and up,laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,2,20261003,resize_linear_linear,0.5x INTER_LINEAR down and up,tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,2,20261003,gaussian_denoise,Gaussian low-pass sigma 1,laplacian_variance,2045.114502,39124.539185,0.052272,39124.539185,0.052272,19596.280945,sharp,1
checkerboard,0,0,2,20261003,gaussian_denoise,Gaussian low-pass sigma 1,tenengrad_energy,170318.874023,412407.092285,0.412987,412407.092285,0.412987,212771.225098,sharp,1
checkerboard,0,0,2,20261003,unsharp_0_5,"Unsharp amount 0.5, sigma 1",laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,2,20261003,unsharp_0_5,"Unsharp amount 0.5, sigma 1",tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,2,20261003,unsharp_1_0,"Unsharp amount 1.0, sigma 1",laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,2,20261003,unsharp_1_0,"Unsharp amount 1.0, sigma 1",tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,2,20261003,denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,laplacian_variance,4437.624268,39124.539185,0.113423,39124.539185,0.113423,19596.280945,sharp,1
checkerboard,0,0,2,20261003,denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,tenengrad_energy,234188.516113,412407.092285,0.567858,412407.092285,0.567858,212771.225098,sharp,0
checkerboard,0,0,2,20261003,unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,laplacian_variance,2045.114502,39124.539185,0.052272,39124.539185,0.052272,19596.280945,sharp,1
checkerboard,0,0,2,20261003,unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,tenengrad_energy,170318.874023,412407.092285,0.412987,412407.092285,0.412987,212771.225098,sharp,1
checkerboard,0,0,2,20261003,jpeg_then_resize,JPEG quality 75 then area-linear resize,laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,2,20261003,jpeg_then_resize,JPEG quality 75 then area-linear resize,tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,2,20261003,resize_then_jpeg,Area-linear resize then JPEG quality 75,laplacian_variance,4664.557065,39124.539185,0.119223,39124.539185,0.119223,19596.280945,sharp,1
checkerboard,0,0,2,20261003,resize_then_jpeg,Area-linear resize then JPEG quality 75,tenengrad_energy,226532.033081,412407.092285,0.549292,412407.092285,0.549292,212771.225098,sharp,0
checkerboard,0,0,3,20261004,identity,No preprocessing,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,3,20261004,identity,No preprocessing,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,3,20261004,jpeg_q95,JPEG quality 95 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,3,20261004,jpeg_q95,JPEG quality 95 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,3,20261004,jpeg_q75,JPEG quality 75 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,3,20261004,jpeg_q75,JPEG quality 75 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,3,20261004,jpeg_q50,JPEG quality 50 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,3,20261004,jpeg_q50,JPEG quality 50 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,3,20261004,resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,3,20261004,resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,3,20261004,resize_linear_linear,0.5x INTER_LINEAR down and up,laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,3,20261004,resize_linear_linear,0.5x INTER_LINEAR down and up,tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,3,20261004,gaussian_denoise,Gaussian low-pass sigma 1,laplacian_variance,2045.114502,39124.539185,0.052272,39124.539185,0.052272,19596.280945,sharp,1
checkerboard,0,0,3,20261004,gaussian_denoise,Gaussian low-pass sigma 1,tenengrad_energy,170318.874023,412407.092285,0.412987,412407.092285,0.412987,212771.225098,sharp,1
checkerboard,0,0,3,20261004,unsharp_0_5,"Unsharp amount 0.5, sigma 1",laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,3,20261004,unsharp_0_5,"Unsharp amount 0.5, sigma 1",tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,3,20261004,unsharp_1_0,"Unsharp amount 1.0, sigma 1",laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,3,20261004,unsharp_1_0,"Unsharp amount 1.0, sigma 1",tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,3,20261004,denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,laplacian_variance,4437.624268,39124.539185,0.113423,39124.539185,0.113423,19596.280945,sharp,1
checkerboard,0,0,3,20261004,denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,tenengrad_energy,234188.516113,412407.092285,0.567858,412407.092285,0.567858,212771.225098,sharp,0
checkerboard,0,0,3,20261004,unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,laplacian_variance,2045.114502,39124.539185,0.052272,39124.539185,0.052272,19596.280945,sharp,1
checkerboard,0,0,3,20261004,unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,tenengrad_energy,170318.874023,412407.092285,0.412987,412407.092285,0.412987,212771.225098,sharp,1
checkerboard,0,0,3,20261004,jpeg_then_resize,JPEG quality 75 then area-linear resize,laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,3,20261004,jpeg_then_resize,JPEG quality 75 then area-linear resize,tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,3,20261004,resize_then_jpeg,Area-linear resize then JPEG quality 75,laplacian_variance,4664.557065,39124.539185,0.119223,39124.539185,0.119223,19596.280945,sharp,1
checkerboard,0,0,3,20261004,resize_then_jpeg,Area-linear resize then JPEG quality 75,tenengrad_energy,226532.033081,412407.092285,0.549292,412407.092285,0.549292,212771.225098,sharp,0
checkerboard,0,0,4,20261005,identity,No preprocessing,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,4,20261005,identity,No preprocessing,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,4,20261005,jpeg_q95,JPEG quality 95 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,4,20261005,jpeg_q95,JPEG quality 95 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,4,20261005,jpeg_q75,JPEG quality 75 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,4,20261005,jpeg_q75,JPEG quality 75 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,4,20261005,jpeg_q50,JPEG quality 50 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,4,20261005,jpeg_q50,JPEG quality 50 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,4,20261005,resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,4,20261005,resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,4,20261005,resize_linear_linear,0.5x INTER_LINEAR down and up,laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,4,20261005,resize_linear_linear,0.5x INTER_LINEAR down and up,tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,4,20261005,gaussian_denoise,Gaussian low-pass sigma 1,laplacian_variance,2045.114502,39124.539185,0.052272,39124.539185,0.052272,19596.280945,sharp,1
checkerboard,0,0,4,20261005,gaussian_denoise,Gaussian low-pass sigma 1,tenengrad_energy,170318.874023,412407.092285,0.412987,412407.092285,0.412987,212771.225098,sharp,1
checkerboard,0,0,4,20261005,unsharp_0_5,"Unsharp amount 0.5, sigma 1",laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,4,20261005,unsharp_0_5,"Unsharp amount 0.5, sigma 1",tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,4,20261005,unsharp_1_0,"Unsharp amount 1.0, sigma 1",laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,4,20261005,unsharp_1_0,"Unsharp amount 1.0, sigma 1",tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,4,20261005,denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,laplacian_variance,4437.624268,39124.539185,0.113423,39124.539185,0.113423,19596.280945,sharp,1
checkerboard,0,0,4,20261005,denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,tenengrad_energy,234188.516113,412407.092285,0.567858,412407.092285,0.567858,212771.225098,sharp,0
checkerboard,0,0,4,20261005,unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,laplacian_variance,2045.114502,39124.539185,0.052272,39124.539185,0.052272,19596.280945,sharp,1
checkerboard,0,0,4,20261005,unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,tenengrad_energy,170318.874023,412407.092285,0.412987,412407.092285,0.412987,212771.225098,sharp,1
checkerboard,0,0,4,20261005,jpeg_then_resize,JPEG quality 75 then area-linear resize,laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,4,20261005,jpeg_then_resize,JPEG quality 75 then area-linear resize,tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,4,20261005,resize_then_jpeg,Area-linear resize then JPEG quality 75,laplacian_variance,4664.557065,39124.539185,0.119223,39124.539185,0.119223,19596.280945,sharp,1
checkerboard,0,0,4,20261005,resize_then_jpeg,Area-linear resize then JPEG quality 75,tenengrad_energy,226532.033081,412407.092285,0.549292,412407.092285,0.549292,212771.225098,sharp,0
checkerboard,0,0,5,20261006,identity,No preprocessing,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,5,20261006,identity,No preprocessing,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,5,20261006,jpeg_q95,JPEG quality 95 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,5,20261006,jpeg_q95,JPEG quality 95 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,5,20261006,jpeg_q75,JPEG quality 75 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,5,20261006,jpeg_q75,JPEG quality 75 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,5,20261006,jpeg_q50,JPEG quality 50 round trip,laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,5,20261006,jpeg_q50,JPEG quality 50 round trip,tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,5,20261006,resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,5,20261006,resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,5,20261006,resize_linear_linear,0.5x INTER_LINEAR down and up,laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
checkerboard,0,0,5,20261006,resize_linear_linear,0.5x INTER_LINEAR down and up,tenengrad_energy,231058.545410,412407.092285,0.560268,412407.092285,0.560268,212771.225098,sharp,0
checkerboard,0,0,5,20261006,gaussian_denoise,Gaussian low-pass sigma 1,laplacian_variance,2045.114502,39124.539185,0.052272,39124.539185,0.052272,19596.280945,sharp,1
checkerboard,0,0,5,20261006,gaussian_denoise,Gaussian low-pass sigma 1,tenengrad_energy,170318.874023,412407.092285,0.412987,412407.092285,0.412987,212771.225098,sharp,1
checkerboard,0,0,5,20261006,unsharp_0_5,"Unsharp amount 0.5, sigma 1",laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,5,20261006,unsharp_0_5,"Unsharp amount 0.5, sigma 1",tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,5,20261006,unsharp_1_0,"Unsharp amount 1.0, sigma 1",laplacian_variance,39124.539185,39124.539185,1.000000,39124.539185,1.000000,19596.280945,sharp,0
checkerboard,0,0,5,20261006,unsharp_1_0,"Unsharp amount 1.0, sigma 1",tenengrad_energy,412407.092285,412407.092285,1.000000,412407.092285,1.000000,212771.225098,sharp,0
checkerboard,0,0,5,20261006,denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,laplacian_variance,4437.624268,39124.539185,0.113423,39124.539185,0.113423,19596.280945,sharp,1
checkerboard,0,0,5,20261006,denoise_then_unsharp,Gaussian denoise then unsharp amount 1.0,tenengrad_energy,234188.516113,412407.092285,0.567858,412407.092285,0.567858,212771.225098,sharp,0
checkerboard,0,0,5,20261006,unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,laplacian_variance,2045.114502,39124.539185,0.052272,39124.539185,0.052272,19596.280945,sharp,1
checkerboard,0,0,5,20261006,unsharp_then_denoise,Unsharp amount 1.0 then Gaussian denoise,tenengrad_energy,170318.874023,412407.092285,0.412987,412407.092285,0.412987,212771.225098,sharp,1
checkerboard,0,0,5,20261006,jpeg_then_resize,JPEG quality 75 then area-linear resize,laplacian_variance,4259.468872,39124.539185,0.108869,39124.539185,0.108869,19596.280945,sharp,1
