platform_label,fixture_id,pattern,quality_control,chroma_sampling,opencv_decoded_sha256,pillow_decoded_sha256,exact_cross_decoder_pixels,within_one_code_value,contract_level,mean_absolute_error,maximum_absolute_error,changed_sample_fraction,changed_pixel_fraction
macos-x64-default,high_frequency_tiles_q50_420,high_frequency_tiles,50,420,a66f6066f7e1f61d0e9e9a5babde9a92987145c774ab0c65570f884b77e74b0f,a66f6066f7e1f61d0e9e9a5babde9a92987145c774ab0c65570f884b77e74b0f,1,1,exact,0.000000000,0,0.000000000,0.000000000
macos-x64-default,high_frequency_tiles_q50_444,high_frequency_tiles,50,444,6b0537cc884a01d77b88ce2a6abe362421601399fb1cb988ae37e69878051d48,6b0537cc884a01d77b88ce2a6abe362421601399fb1cb988ae37e69878051d48,1,1,exact,0.000000000,0,0.000000000,0.000000000
macos-x64-default,high_frequency_tiles_q95_420,high_frequency_tiles,95,420,2930e80199fc4b3e5b8923fc0b9ee602eb18de20b411749e47e82d4302bd4ad3,2930e80199fc4b3e5b8923fc0b9ee602eb18de20b411749e47e82d4302bd4ad3,1,1,exact,0.000000000,0,0.000000000,0.000000000
macos-x64-default,high_frequency_tiles_q95_444,high_frequency_tiles,95,444,e4e034083fbcf746a8c212b74de7c125f8a4fcefbd6ee00aa6e0fb9e63e8f283,e4e034083fbcf746a8c212b74de7c125f8a4fcefbd6ee00aa6e0fb9e63e8f283,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-default,chroma_edges_q50_420,chroma_edges,50,420,8819205456e5161cbb6d6a1ebe482ce25c6fa69b2056861bb50e17ddc7d43ff2,8819205456e5161cbb6d6a1ebe482ce25c6fa69b2056861bb50e17ddc7d43ff2,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-default,chroma_edges_q50_444,chroma_edges,50,444,d08928513584fbf0cf5203c84c2219456e906705bdeb7178c7d63169a884ea2c,d08928513584fbf0cf5203c84c2219456e906705bdeb7178c7d63169a884ea2c,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-default,chroma_edges_q95_420,chroma_edges,95,420,b4f5b261ab64c05cf32fb9a5faf8b9f263c3d30e7c424153e9ad14d95873286d,b4f5b261ab64c05cf32fb9a5faf8b9f263c3d30e7c424153e9ad14d95873286d,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-default,chroma_edges_q95_444,chroma_edges,95,444,1a9e2735116d24d187ba99ce01d2ab59938c54f56d7489c88b15adafc648c7ab,1a9e2735116d24d187ba99ce01d2ab59938c54f56d7489c88b15adafc648c7ab,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-default,gradient_shapes_q50_420,gradient_shapes,50,420,4be28ba5232ccfe50e092f99094f164b452c2dc3d563ae371da8101e2fbffbd8,4be28ba5232ccfe50e092f99094f164b452c2dc3d563ae371da8101e2fbffbd8,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-default,gradient_shapes_q50_444,gradient_shapes,50,444,ff65e03ee8bc5909813f7afaa66fc835a202b8bff44544312b21dc228f3053da,ff65e03ee8bc5909813f7afaa66fc835a202b8bff44544312b21dc228f3053da,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-default,gradient_shapes_q95_420,gradient_shapes,95,420,3ac669f82bd838d34d03d8f615c5e493dae38cc625486b1223b00abb8ddc08de,3ac669f82bd838d34d03d8f615c5e493dae38cc625486b1223b00abb8ddc08de,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-default,gradient_shapes_q95_444,gradient_shapes,95,444,4c4637fa782e6db32c8cf5acf4f0102a1ace2e9db950d201d2e24d15e95aa035,4c4637fa782e6db32c8cf5acf4f0102a1ace2e9db950d201d2e24d15e95aa035,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-default,high_frequency_tiles_q50_420,high_frequency_tiles,50,420,a66f6066f7e1f61d0e9e9a5babde9a92987145c774ab0c65570f884b77e74b0f,a66f6066f7e1f61d0e9e9a5babde9a92987145c774ab0c65570f884b77e74b0f,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-default,high_frequency_tiles_q50_444,high_frequency_tiles,50,444,6b0537cc884a01d77b88ce2a6abe362421601399fb1cb988ae37e69878051d48,6b0537cc884a01d77b88ce2a6abe362421601399fb1cb988ae37e69878051d48,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-default,high_frequency_tiles_q95_420,high_frequency_tiles,95,420,2930e80199fc4b3e5b8923fc0b9ee602eb18de20b411749e47e82d4302bd4ad3,2930e80199fc4b3e5b8923fc0b9ee602eb18de20b411749e47e82d4302bd4ad3,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-default,high_frequency_tiles_q95_444,high_frequency_tiles,95,444,e4e034083fbcf746a8c212b74de7c125f8a4fcefbd6ee00aa6e0fb9e63e8f283,e4e034083fbcf746a8c212b74de7c125f8a4fcefbd6ee00aa6e0fb9e63e8f283,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,chroma_edges_q50_420,chroma_edges,50,420,8819205456e5161cbb6d6a1ebe482ce25c6fa69b2056861bb50e17ddc7d43ff2,8819205456e5161cbb6d6a1ebe482ce25c6fa69b2056861bb50e17ddc7d43ff2,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,chroma_edges_q50_444,chroma_edges,50,444,d08928513584fbf0cf5203c84c2219456e906705bdeb7178c7d63169a884ea2c,d08928513584fbf0cf5203c84c2219456e906705bdeb7178c7d63169a884ea2c,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,chroma_edges_q95_420,chroma_edges,95,420,b4f5b261ab64c05cf32fb9a5faf8b9f263c3d30e7c424153e9ad14d95873286d,b4f5b261ab64c05cf32fb9a5faf8b9f263c3d30e7c424153e9ad14d95873286d,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,chroma_edges_q95_444,chroma_edges,95,444,1a9e2735116d24d187ba99ce01d2ab59938c54f56d7489c88b15adafc648c7ab,1a9e2735116d24d187ba99ce01d2ab59938c54f56d7489c88b15adafc648c7ab,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,gradient_shapes_q50_420,gradient_shapes,50,420,4be28ba5232ccfe50e092f99094f164b452c2dc3d563ae371da8101e2fbffbd8,4be28ba5232ccfe50e092f99094f164b452c2dc3d563ae371da8101e2fbffbd8,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,gradient_shapes_q50_444,gradient_shapes,50,444,ff65e03ee8bc5909813f7afaa66fc835a202b8bff44544312b21dc228f3053da,ff65e03ee8bc5909813f7afaa66fc835a202b8bff44544312b21dc228f3053da,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,gradient_shapes_q95_420,gradient_shapes,95,420,3ac669f82bd838d34d03d8f615c5e493dae38cc625486b1223b00abb8ddc08de,3ac669f82bd838d34d03d8f615c5e493dae38cc625486b1223b00abb8ddc08de,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,gradient_shapes_q95_444,gradient_shapes,95,444,4c4637fa782e6db32c8cf5acf4f0102a1ace2e9db950d201d2e24d15e95aa035,4c4637fa782e6db32c8cf5acf4f0102a1ace2e9db950d201d2e24d15e95aa035,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,high_frequency_tiles_q50_420,high_frequency_tiles,50,420,a66f6066f7e1f61d0e9e9a5babde9a92987145c774ab0c65570f884b77e74b0f,a66f6066f7e1f61d0e9e9a5babde9a92987145c774ab0c65570f884b77e74b0f,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,high_frequency_tiles_q50_444,high_frequency_tiles,50,444,6b0537cc884a01d77b88ce2a6abe362421601399fb1cb988ae37e69878051d48,6b0537cc884a01d77b88ce2a6abe362421601399fb1cb988ae37e69878051d48,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,high_frequency_tiles_q95_420,high_frequency_tiles,95,420,2930e80199fc4b3e5b8923fc0b9ee602eb18de20b411749e47e82d4302bd4ad3,2930e80199fc4b3e5b8923fc0b9ee602eb18de20b411749e47e82d4302bd4ad3,1,1,exact,0.000000000,0,0.000000000,0.000000000
ubuntu-x64-scalar,high_frequency_tiles_q95_444,high_frequency_tiles,95,444,e4e034083fbcf746a8c212b74de7c125f8a4fcefbd6ee00aa6e0fb9e63e8f283,e4e034083fbcf746a8c212b74de7c125f8a4fcefbd6ee00aa6e0fb9e63e8f283,1,1,exact,0.000000000,0,0.000000000,0.000000000
windows-x64-default,chroma_edges_q50_420,chroma_edges,50,420,8819205456e5161cbb6d6a1ebe482ce25c6fa69b2056861bb50e17ddc7d43ff2,8819205456e5161cbb6d6a1ebe482ce25c6fa69b2056861bb50e17ddc7d43ff2,1,1,exact,0.000000000,0,0.000000000,0.000000000
windows-x64-default,chroma_edges_q50_444,chroma_edges,50,444,d08928513584fbf0cf5203c84c2219456e906705bdeb7178c7d63169a884ea2c,d08928513584fbf0cf5203c84c2219456e906705bdeb7178c7d63169a884ea2c,1,1,exact,0.000000000,0,0.000000000,0.000000000
windows-x64-default,chroma_edges_q95_420,chroma_edges,95,420,b4f5b261ab64c05cf32fb9a5faf8b9f263c3d30e7c424153e9ad14d95873286d,b4f5b261ab64c05cf32fb9a5faf8b9f263c3d30e7c424153e9ad14d95873286d,1,1,exact,0.000000000,0,0.000000000,0.000000000
windows-x64-default,chroma_edges_q95_444,chroma_edges,95,444,1a9e2735116d24d187ba99ce01d2ab59938c54f56d7489c88b15adafc648c7ab,1a9e2735116d24d187ba99ce01d2ab59938c54f56d7489c88b15adafc648c7ab,1,1,exact,0.000000000,0,0.000000000,0.000000000
windows-x64-default,gradient_shapes_q50_420,gradient_shapes,50,420,4be28ba5232ccfe50e092f99094f164b452c2dc3d563ae371da8101e2fbffbd8,4be28ba5232ccfe50e092f99094f164b452c2dc3d563ae371da8101e2fbffbd8,1,1,exact,0.000000000,0,0.000000000,0.000000000
windows-x64-default,gradient_shapes_q50_444,gradient_shapes,50,444,ff65e03ee8bc5909813f7afaa66fc835a202b8bff44544312b21dc228f3053da,ff65e03ee8bc5909813f7afaa66fc835a202b8bff44544312b21dc228f3053da,1,1,exact,0.000000000,0,0.000000000,0.000000000
windows-x64-default,gradient_shapes_q95_420,gradient_shapes,95,420,3ac669f82bd838d34d03d8f615c5e493dae38cc625486b1223b00abb8ddc08de,3ac669f82bd838d34d03d8f615c5e493dae38cc625486b1223b00abb8ddc08de,1,1,exact,0.000000000,0,0.000000000,0.000000000
windows-x64-default,gradient_shapes_q95_444,gradient_shapes,95,444,4c4637fa782e6db32c8cf5acf4f0102a1ace2e9db950d201d2e24d15e95aa035,4c4637fa782e6db32c8cf5acf4f0102a1ace2e9db950d201d2e24d15e95aa035,1,1,exact,0.000000000,0,0.000000000,0.000000000
windows-x64-default,high_frequency_tiles_q50_420,high_frequency_tiles,50,420,a66f6066f7e1f61d0e9e9a5babde9a92987145c774ab0c65570f884b77e74b0f,a66f6066f7e1f61d0e9e9a5babde9a92987145c774ab0c65570f884b77e74b0f,1,1,exact,0.000000000,0,0.000000000,0.000000000
windows-x64-default,high_frequency_tiles_q50_444,high_frequency_tiles,50,444,6b0537cc884a01d77b88ce2a6abe362421601399fb1cb988ae37e69878051d48,6b0537cc884a01d77b88ce2a6abe362421601399fb1cb988ae37e69878051d48,1,1,exact,0.000000000,0,0.000000000,0.000000000
windows-x64-default,high_frequency_tiles_q95_420,high_frequency_tiles,95,420,2930e80199fc4b3e5b8923fc0b9ee602eb18de20b411749e47e82d4302bd4ad3,2930e80199fc4b3e5b8923fc0b9ee602eb18de20b411749e47e82d4302bd4ad3,1,1,exact,0.000000000,0,0.000000000,0.000000000
windows-x64-default,high_frequency_tiles_q95_444,high_frequency_tiles,95,444,e4e034083fbcf746a8c212b74de7c125f8a4fcefbd6ee00aa6e0fb9e63e8f283,e4e034083fbcf746a8c212b74de7c125f8a4fcefbd6ee00aa6e0fb9e63e8f283,1,1,exact,0.000000000,0,0.000000000,0.000000000
