platform_label,stage,control_id,edge_index,use_count,incident_face_count,incident_face_indices,orientations,boundary,manifold_pair,nonmanifold,paired_orientations_opposed
linux-x64-reference,step_imported,open_box,1,2,2,1;3,forward;reversed,0,1,0,1
linux-x64-reference,step_imported,open_box,2,2,2,1;5,reversed;forward,0,1,0,1
linux-x64-reference,step_imported,open_box,3,2,2,1;4,reversed;forward,0,1,0,1
linux-x64-reference,step_imported,open_box,4,1,1,1,forward,1,0,0,
linux-x64-reference,step_imported,open_box,5,2,2,2;3,reversed;forward,0,1,0,1
linux-x64-reference,step_imported,open_box,6,2,2,2;5,forward;reversed,0,1,0,1
linux-x64-reference,step_imported,open_box,7,2,2,2;4,forward;reversed,0,1,0,1
linux-x64-reference,step_imported,open_box,8,1,1,2,reversed,1,0,0,
linux-x64-reference,step_imported,open_box,9,2,2,3;5,forward;reversed,0,1,0,1
linux-x64-reference,step_imported,open_box,10,1,1,3,reversed,1,0,0,
linux-x64-reference,step_imported,open_box,11,2,2,4;5,reversed;forward,0,1,0,1
linux-x64-reference,step_imported,open_box,12,1,1,4,forward,1,0,0,
linux-x64-reference,constructed,flipped_face_box,1,2,2,1;3,forward;reversed,0,1,0,1
linux-x64-reference,constructed,flipped_face_box,2,2,2,1;6,forward;reversed,0,1,0,1
linux-x64-reference,constructed,flipped_face_box,3,2,2,1;4,reversed;forward,0,1,0,1
linux-x64-reference,constructed,flipped_face_box,4,2,2,1;5,reversed;forward,0,1,0,1
linux-x64-reference,constructed,flipped_face_box,5,2,2,2;3,forward;forward,0,1,0,0
linux-x64-reference,constructed,flipped_face_box,6,2,2,2;6,forward;forward,0,1,0,0
linux-x64-reference,constructed,flipped_face_box,7,2,2,2;4,reversed;reversed,0,1,0,0
linux-x64-reference,constructed,flipped_face_box,8,2,2,2;5,reversed;reversed,0,1,0,0
linux-x64-reference,constructed,flipped_face_box,9,2,2,3;5,forward;reversed,0,1,0,1
linux-x64-reference,constructed,flipped_face_box,10,2,2,3;6,reversed;forward,0,1,0,1
linux-x64-reference,constructed,flipped_face_box,11,2,2,4;5,reversed;forward,0,1,0,1
linux-x64-reference,constructed,flipped_face_box,12,2,2,4;6,forward;reversed,0,1,0,1
linux-x64-reference,step_imported,flipped_face_box,1,2,2,1;6,forward;reversed,0,1,0,1
linux-x64-reference,step_imported,flipped_face_box,2,2,2,1;5,reversed;forward,0,1,0,1
linux-x64-reference,step_imported,flipped_face_box,3,2,2,1;4,reversed;forward,0,1,0,1
linux-x64-reference,step_imported,flipped_face_box,4,2,2,1;2,forward;reversed,0,1,0,1
linux-x64-reference,step_imported,flipped_face_box,5,2,2,2;6,forward;reversed,0,1,0,1
linux-x64-reference,step_imported,flipped_face_box,6,2,2,2;3,forward;reversed,0,1,0,1
linux-x64-reference,step_imported,flipped_face_box,7,2,2,2;4,reversed;forward,0,1,0,1
