encoder,sequence_id,generation,checkpoint,fixture_count,strict_accept_rate,metadata_change_rate_from_previous,mean_application_segment_count,mean_application_metadata_bytes,original_envelope_cases,original_envelope_exact_rate,supported_semantic_cases,supported_semantics_retained_rate,pixel_exact_rate_to_previous,mean_absolute_error_to_previous,pixel_exact_rate_to_generation_zero,mean_absolute_error_to_generation_zero,maximum_absolute_error_to_generation_zero
pillow,preserve_then_normalize,5,1,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,preserve_then_normalize,6,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,preserve_then_normalize,7,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,preserve_then_normalize,8,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,preserve_then_normalize,9,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,preserve_then_normalize,10,1,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,normalize_then_strip,0,1,5,1.000000,nan,0.800000000,12139.000000000,4,1.000000,2,1.000000,nan,nan,1.000000,0.000000000,0
pillow,normalize_then_strip,1,1,5,1.000000,0.400000,0.400000000,128.400000000,4,0.500000,2,1.000000,0.000000,0.036680912,0.000000,0.036680912,7
pillow,normalize_then_strip,2,1,5,1.000000,0.400000,0.000000000,0.000000000,4,0.000000,2,0.000000,0.000000,0.012019231,0.000000,0.047453704,11
pillow,normalize_then_strip,3,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,0.000000,0.006944444,0.000000,0.053329772,18
pillow,normalize_then_strip,4,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,normalize_then_strip,5,1,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,normalize_then_strip,6,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,normalize_then_strip,7,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,normalize_then_strip,8,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,normalize_then_strip,9,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,normalize_then_strip,10,1,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,strip_then_preserve,0,1,5,1.000000,nan,0.800000000,12139.000000000,4,1.000000,2,1.000000,nan,nan,1.000000,0.000000000,0
pillow,strip_then_preserve,1,1,5,1.000000,0.800000,0.000000000,0.000000000,4,0.000000,2,0.000000,0.000000,0.036680912,0.000000,0.036680912,7
pillow,strip_then_preserve,2,1,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,0.000000,0.012019231,0.000000,0.047453704,11
pillow,strip_then_preserve,3,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,0.000000,0.006944444,0.000000,0.053329772,18
pillow,strip_then_preserve,4,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,strip_then_preserve,5,1,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,strip_then_preserve,6,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,strip_then_preserve,7,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,strip_then_preserve,8,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,strip_then_preserve,9,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
pillow,strip_then_preserve,10,1,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_repeat,0,1,5,1.000000,nan,0.800000000,12139.000000000,4,1.000000,2,1.000000,nan,nan,1.000000,0.000000000,0
opencv,preserve_repeat,1,1,5,1.000000,0.000000,0.800000000,12139.000000000,4,1.000000,2,1.000000,0.000000,0.036680912,0.000000,0.036680912,7
opencv,preserve_repeat,2,1,5,1.000000,0.000000,0.800000000,12139.000000000,4,1.000000,2,1.000000,0.000000,0.012019231,0.000000,0.047453704,11
opencv,preserve_repeat,3,0,5,1.000000,0.000000,0.800000000,12139.000000000,4,1.000000,2,1.000000,0.000000,0.006944444,0.000000,0.053329772,18
opencv,preserve_repeat,4,0,5,1.000000,0.000000,0.800000000,12139.000000000,4,1.000000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_repeat,5,1,5,1.000000,0.000000,0.800000000,12139.000000000,4,1.000000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_repeat,6,0,5,1.000000,0.000000,0.800000000,12139.000000000,4,1.000000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_repeat,7,0,5,1.000000,0.000000,0.800000000,12139.000000000,4,1.000000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_repeat,8,0,5,1.000000,0.000000,0.800000000,12139.000000000,4,1.000000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_repeat,9,0,5,1.000000,0.000000,0.800000000,12139.000000000,4,1.000000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_repeat,10,1,5,1.000000,0.000000,0.800000000,12139.000000000,4,1.000000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_repeat,0,1,5,1.000000,nan,0.800000000,12139.000000000,4,1.000000,2,1.000000,nan,nan,1.000000,0.000000000,0
opencv,strip_repeat,1,1,5,1.000000,0.800000,0.000000000,0.000000000,4,0.000000,2,0.000000,0.000000,0.036680912,0.000000,0.036680912,7
opencv,strip_repeat,2,1,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,0.000000,0.012019231,0.000000,0.047453704,11
opencv,strip_repeat,3,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,0.000000,0.006944444,0.000000,0.053329772,18
opencv,strip_repeat,4,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_repeat,5,1,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_repeat,6,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_repeat,7,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_repeat,8,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_repeat,9,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_repeat,10,1,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_repeat,0,1,5,1.000000,nan,0.800000000,12139.000000000,4,1.000000,2,1.000000,nan,nan,1.000000,0.000000000,0
opencv,normalize_repeat,1,1,5,1.000000,0.400000,0.400000000,128.400000000,4,0.500000,2,1.000000,0.000000,0.036680912,0.000000,0.036680912,7
opencv,normalize_repeat,2,1,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,0.000000,0.012019231,0.000000,0.047453704,11
opencv,normalize_repeat,3,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,0.000000,0.006944444,0.000000,0.053329772,18
opencv,normalize_repeat,4,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_repeat,5,1,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_repeat,6,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_repeat,7,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_repeat,8,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_repeat,9,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_repeat,10,1,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_then_normalize,0,1,5,1.000000,nan,0.800000000,12139.000000000,4,1.000000,2,1.000000,nan,nan,1.000000,0.000000000,0
opencv,preserve_then_normalize,1,1,5,1.000000,0.000000,0.800000000,12139.000000000,4,1.000000,2,1.000000,0.000000,0.036680912,0.000000,0.036680912,7
opencv,preserve_then_normalize,2,1,5,1.000000,0.400000,0.400000000,128.400000000,4,0.500000,2,1.000000,0.000000,0.012019231,0.000000,0.047453704,11
opencv,preserve_then_normalize,3,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,0.000000,0.006944444,0.000000,0.053329772,18
opencv,preserve_then_normalize,4,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_then_normalize,5,1,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_then_normalize,6,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_then_normalize,7,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_then_normalize,8,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_then_normalize,9,0,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,preserve_then_normalize,10,1,5,1.000000,0.000000,0.400000000,128.400000000,4,0.500000,2,1.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_then_strip,0,1,5,1.000000,nan,0.800000000,12139.000000000,4,1.000000,2,1.000000,nan,nan,1.000000,0.000000000,0
opencv,normalize_then_strip,1,1,5,1.000000,0.400000,0.400000000,128.400000000,4,0.500000,2,1.000000,0.000000,0.036680912,0.000000,0.036680912,7
opencv,normalize_then_strip,2,1,5,1.000000,0.400000,0.000000000,0.000000000,4,0.000000,2,0.000000,0.000000,0.012019231,0.000000,0.047453704,11
opencv,normalize_then_strip,3,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,0.000000,0.006944444,0.000000,0.053329772,18
opencv,normalize_then_strip,4,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_then_strip,5,1,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_then_strip,6,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_then_strip,7,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_then_strip,8,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_then_strip,9,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,normalize_then_strip,10,1,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_then_preserve,0,1,5,1.000000,nan,0.800000000,12139.000000000,4,1.000000,2,1.000000,nan,nan,1.000000,0.000000000,0
opencv,strip_then_preserve,1,1,5,1.000000,0.800000,0.000000000,0.000000000,4,0.000000,2,0.000000,0.000000,0.036680912,0.000000,0.036680912,7
opencv,strip_then_preserve,2,1,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,0.000000,0.012019231,0.000000,0.047453704,11
opencv,strip_then_preserve,3,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,0.000000,0.006944444,0.000000,0.053329772,18
opencv,strip_then_preserve,4,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_then_preserve,5,1,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_then_preserve,6,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_then_preserve,7,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_then_preserve,8,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_then_preserve,9,0,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
opencv,strip_then_preserve,10,1,5,1.000000,0.000000,0.000000000,0.000000000,4,0.000000,2,0.000000,1.000000,0.000000000,0.000000,0.053329772,18
