platform_label,fixture_id,encoder,policy,source_sha256,source_metadata_sha256,source_field_count,retained_field_count,removed_field_count,location_field_count,retained_location_field_count,unclassified_field_count,retained_unclassified_field_count,output_strict_accept,output_issue_codes,metadata_core_exact,pixels_exact_to_reencode_control,equivalent_layout_output_exact,output_metadata_sha256,output_size_bytes,output_sha256,output_bgr_sha256,error_category
linux-x64-reference,canonical_order,opencv,strip_all,0e531c5277aa6a8cfc80fe1d36e9a2003552d1394843586dd60ba997b820f349,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,12,0,12,2,0,2,0,1,none,1,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2806,6323cc1c7acce288a13a52494b0f088694460cb32c1b3a92a806edbfa29ae581,80ac61fe1d8f657d6f043b4b5219f51e904239eadfd2da1f3faf7b9c80ffaa95,none
linux-x64-reference,reordered_equivalent,pillow,retain_all,e0b518fbe37a32174b5889b29c2f9b8b0940b7ea21f0eeee0cffbcc1d75d651f,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,12,12,0,2,2,2,2,1,none,1,1,1,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,4317,e5839efb4a8b756196cb51fed4ae4b747dcd51567244b8ee2702e02fab4c8910,80ac61fe1d8f657d6f043b4b5219f51e904239eadfd2da1f3faf7b9c80ffaa95,none
linux-x64-reference,reordered_equivalent,pillow,drop_location_denylist,e0b518fbe37a32174b5889b29c2f9b8b0940b7ea21f0eeee0cffbcc1d75d651f,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,12,10,2,2,0,2,2,1,none,1,1,1,51a9f65ba055b4b37a9130211ee8251af01865c0707292b97d4a12d822e30d3c,4179,44cb02d140ce64e777d74b9819358cf595fb9347db525047f07b5ae35117f4fe,80ac61fe1d8f657d6f043b4b5219f51e904239eadfd2da1f3faf7b9c80ffaa95,none
linux-x64-reference,reordered_equivalent,pillow,allow_visual_context,e0b518fbe37a32174b5889b29c2f9b8b0940b7ea21f0eeee0cffbcc1d75d651f,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,12,2,10,2,0,2,0,1,none,1,1,1,3b98d2356ae3e7fb29fca39fe7a37640fe85641026e9cac68f0b36cdfa2b727f,3448,9291faac23b6a27548c84460ed814a9c308c4db2acf3164cf38af0474312b8c3,80ac61fe1d8f657d6f043b4b5219f51e904239eadfd2da1f3faf7b9c80ffaa95,none
linux-x64-reference,reordered_equivalent,pillow,allow_catalog,e0b518fbe37a32174b5889b29c2f9b8b0940b7ea21f0eeee0cffbcc1d75d651f,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,12,6,6,2,0,2,0,1,none,1,1,1,a47bc4ecfdc597a8896c0867065a6e8807d21dfaaa40aea05fa5f4677ee1d216,3891,34f55dbfef64ea38d0029cba52f08973ae1b60b44867494c6dde69a6b0a29867,80ac61fe1d8f657d6f043b4b5219f51e904239eadfd2da1f3faf7b9c80ffaa95,none
linux-x64-reference,reordered_equivalent,pillow,allow_attribution,e0b518fbe37a32174b5889b29c2f9b8b0940b7ea21f0eeee0cffbcc1d75d651f,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,12,4,8,2,0,2,0,1,none,1,1,1,3c5fcc20864123bb39543dba87654a2fca9add1e19e8b18709db72b37b2a61d6,3789,835e2cec2927d5cfb3471f61265cec3edf8a49c0f3cf3dd9280991750787803c,80ac61fe1d8f657d6f043b4b5219f51e904239eadfd2da1f3faf7b9c80ffaa95,none
linux-x64-reference,reordered_equivalent,pillow,strip_all,e0b518fbe37a32174b5889b29c2f9b8b0940b7ea21f0eeee0cffbcc1d75d651f,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,12,0,12,2,0,2,0,1,none,1,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2806,6323cc1c7acce288a13a52494b0f088694460cb32c1b3a92a806edbfa29ae581,80ac61fe1d8f657d6f043b4b5219f51e904239eadfd2da1f3faf7b9c80ffaa95,none
linux-x64-reference,reordered_equivalent,opencv,retain_all,e0b518fbe37a32174b5889b29c2f9b8b0940b7ea21f0eeee0cffbcc1d75d651f,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,12,12,0,2,2,2,2,1,none,1,1,1,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,4317,e5839efb4a8b756196cb51fed4ae4b747dcd51567244b8ee2702e02fab4c8910,80ac61fe1d8f657d6f043b4b5219f51e904239eadfd2da1f3faf7b9c80ffaa95,none
linux-x64-reference,reordered_equivalent,opencv,drop_location_denylist,e0b518fbe37a32174b5889b29c2f9b8b0940b7ea21f0eeee0cffbcc1d75d651f,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,12,10,2,2,0,2,2,1,none,1,1,1,51a9f65ba055b4b37a9130211ee8251af01865c0707292b97d4a12d822e30d3c,4179,44cb02d140ce64e777d74b9819358cf595fb9347db525047f07b5ae35117f4fe,80ac61fe1d8f657d6f043b4b5219f51e904239eadfd2da1f3faf7b9c80ffaa95,none
linux-x64-reference,reordered_equivalent,opencv,allow_visual_context,e0b518fbe37a32174b5889b29c2f9b8b0940b7ea21f0eeee0cffbcc1d75d651f,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,12,2,10,2,0,2,0,1,none,1,1,1,3b98d2356ae3e7fb29fca39fe7a37640fe85641026e9cac68f0b36cdfa2b727f,3448,9291faac23b6a27548c84460ed814a9c308c4db2acf3164cf38af0474312b8c3,80ac61fe1d8f657d6f043b4b5219f51e904239eadfd2da1f3faf7b9c80ffaa95,none
linux-x64-reference,reordered_equivalent,opencv,allow_catalog,e0b518fbe37a32174b5889b29c2f9b8b0940b7ea21f0eeee0cffbcc1d75d651f,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,12,6,6,2,0,2,0,1,none,1,1,1,a47bc4ecfdc597a8896c0867065a6e8807d21dfaaa40aea05fa5f4677ee1d216,3891,34f55dbfef64ea38d0029cba52f08973ae1b60b44867494c6dde69a6b0a29867,80ac61fe1d8f657d6f043b4b5219f51e904239eadfd2da1f3faf7b9c80ffaa95,none
linux-x64-reference,reordered_equivalent,opencv,allow_attribution,e0b518fbe37a32174b5889b29c2f9b8b0940b7ea21f0eeee0cffbcc1d75d651f,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,12,4,8,2,0,2,0,1,none,1,1,1,3c5fcc20864123bb39543dba87654a2fca9add1e19e8b18709db72b37b2a61d6,3789,835e2cec2927d5cfb3471f61265cec3edf8a49c0f3cf3dd9280991750787803c,80ac61fe1d8f657d6f043b4b5219f51e904239eadfd2da1f3faf7b9c80ffaa95,none
linux-x64-reference,reordered_equivalent,opencv,strip_all,e0b518fbe37a32174b5889b29c2f9b8b0940b7ea21f0eeee0cffbcc1d75d651f,661b837953a2c447814d3f7aa1fbb2417ec1278e3c7617d1cdd55836edf8d29b,12,0,12,2,0,2,0,1,none,1,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2806,6323cc1c7acce288a13a52494b0f088694460cb32c1b3a92a806edbfa29ae581,80ac61fe1d8f657d6f043b4b5219f51e904239eadfd2da1f3faf7b9c80ffaa95,none
